movie_id,director_id,name,gender
9073,56998,Dwight H. Little,0.0
10428,1978,Iain Softley,2.0
17447,252806,Christopher Ashley,2.0
9886,59997,Robert Longo,2.0
9482,33279,Danny Cannon,2.0
19326,58316,John Fortenberry,2.0
9344,51917,Larry Clark,2.0
9071,6400,Tom DiCillo,2.0
8973,31211,Clive Barker,2.0
15730,38516,Denys Arcand,2.0
47608,42617,Antonia Bird,1.0
2293,19303,Kevin Smith,2.0
9070,42111,Bryan Spicer,2.0
68274,44847,David Anspaugh,2.0
48787,58384,Anthony Waller,2.0
34574,54469,Michael Almereyda,2.0
1642,11472,Irwin Winkler,2.0
11472,10965,Chris Columbus,2.0
36196,56714,Daisy von Scherler Mayer,1.0
11980,28902,Gregory Widen,2.0
58372,26487,Norman René,2.0
32646,16863,Todd Haynes,2.0
10533,8965,Roland Joffé,0.0
10802,10491,Paul Verhoeven,2.0
10149,39819,Wayne Wang,0.0
10149,46391,Paul Auster,2.0
18402,5306,Lasse Hallström,2.0
9348,21370,Roger Donaldson,2.0
139408,408,James Keach,2.0
281,14392,Kathryn Bigelow,1.0
5967,24882,Jacques Demy,0.0
79593,17880,Wesley Strick,2.0
47939,63713,Martha Coolidge,1.0
36834,1128,Agnieszka Holland,1.0
9090,20237,Beeban Kidron,1.0
3512,32277,Geoff Murphy,2.0
52856,3092,Diane Keaton,1.0
77350,588623,Douglas Keeve,2.0
9560,22767,Alfonso Aráu,2.0
9804,8300,Kevin Reynolds,0.0
31611,73494,Desmond Nakano,0.0
65796,1723,Walter Hill,2.0
49805,6111,Mike Figgis,2.0
26258,17309,Greg Beeman,2.0
50797,82796,Nikita Mikhalkov,2.0
19155,1364800,Milčo Mančevski,0.0
76,564,Richard Linklater,2.0
11017,57691,Tamra Davis,1.0
37141,43468,Guy Ferland,2.0
9382,18378,Herbert Ross,0.0
6715,44990,Peter Horton,2.0
18256,27991,Stuart Gordon,2.0
22625,19969,Pat O'Connor,2.0
2292,19303,Kevin Smith,2.0
1909,25210,Jeremy Leven,2.0
8984,8246,Barry Levinson,2.0
61813,225065,René Bonnière,0.0
4954,12840,John Badham,2.0
62488,58154,Jack Baran,2.0
10531,3556,Roman Polanski,2.0
11929,18596,Taylor Hackford,0.0
8467,7396,Peter Farrelly,2.0
8467,7395,Bobby Farrelly,2.0
10451,1614,Ang Lee,2.0
20156,56205,Atom Egoyan,2.0
18395,1201,Garry Marshall,2.0
522,510,Tim Burton,2.0
397,8844,Lawrence Kasdan,2.0
10525,7904,Billy Crystal,2.0
27985,148119,Phillip Borsos,0.0
15789,15775,Kevin Lima,2.0
15789,56147,Paul Brizzi,0.0
27303,57090,Brett Leonard,0.0
21183,87695,Carlo Carlei,2.0
10954,67794,Gérard Corbiau,0.0
47867,1566166,Mark Lewis,0.0
43475,129534,Art Clokey,0.0
72031,97755,Charles Burnett,2.0
14275,122449,Steve James,2.0
1024,108,Peter Jackson,2.0
17207,77121,Randall Miller,2.0
13701,57851,Bernard Rose,2.0
14819,32593,Steven Brill,2.0
32631,1203,J. F. Lawton,2.0
11777,64061,Fred Schepisi,2.0
628,17016,Neil Jordan,0.0
87729,54441,James Ivory,2.0
18713,73668,James Melkonian,0.0
6280,8858,Ivan Reitman,2.0
9061,56872,Arne Glimcher,0.0
37108,62043,Michael Gottlieb,2.0
6071,23393,Barbet Schroeder,2.0
11,1,George Lucas,2.0
9587,58094,Gillian Armstrong,1.0
19101,11218,Alfonso Cuarón,2.0
49980,15488,Ken Loach,2.0
17961,19069,Claude Chabrol,0.0
18183,22767,Alfonso Aráu,2.0
4476,9181,Edward Zwick,2.0
11008,14692,Nick Castle,2.0
47504,20561,James Gray,2.0
32325,3110,Allison Anders,1.0
43742,58463,Glenn Gordon Caron,2.0
28313,15912,Stephen Gyllenhaal,2.0
11318,55476,Nicholas Hytner,2.0
3036,11181,Kenneth Branagh,2.0
40490,27444,James Orr,2.0
24070,9248,Nora Ephron,0.0
8986,24318,Richard Benjamin,2.0
10510,56911,Les Mayfield,0.0
17402,5065,David Frankel,2.0
38722,16395,Gregory Nava,2.0
8438,54971,Marc Rocco,2.0
11593,6729,Robert Benton,2.0
1945,10781,Michael Apted,2.0
39310,17278,Nick Gomez,2.0
109560,129957,Tōru Murakawa,2.0
56428,70905,Vadim Jean,2.0
63105,63937,Albert Pyun,2.0
131957,131792,Alan Jacobs,2.0
241,1152,Oliver Stone,2.0
9058,13563,Norman Jewison,2.0
527,7256,Lee Tamahori,2.0
18220,2873,Anne Goursaud,1.0
6950,5231,Wolfgang Petersen,2.0
101,59,Luc Besson,2.0
63020,6495,Mira Nair,1.0
2307,23757,Joshua Brand,2.0
680,138,Quentin Tarantino,2.0
41478,16214,Mario Van Peebles,2.0
25296,1614,Ang Lee,2.0
